[Tue Jun 22 09:46:14.681772 2021] [core:error] [pid 26:tid 140092765103872] [client 192.168.192.1:56338] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:14.689784 2021] [core:error] [pid 26:tid 140092756711168] [client 192.168.192.1:56334] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:14.698499 2021] [core:error] [pid 26:tid 140092739925760] [client 192.168.192.1:56340] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:14.710825 2021] [core:error] [pid 26:tid 140093285189376] [client 192.168.192.1:56348] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:14.715375 2021] [core:error] [pid 26:tid 140092731533056] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:14.722881 2021] [core:error] [pid 26:tid 140092723140352] [client 192.168.192.1:56338] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:14.726470 2021] [core:error] [pid 26:tid 140092228232960] [client 192.168.192.1:56334] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:14.727699 2021] [core:error] [pid 26:tid 140092236625664] [client 192.168.192.1:56340] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:14.736380 2021] [core:error] [pid 26:tid 140092219840256] [client 192.168.192.1:56348] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:14.747095 2021] [core:error] [pid 26:tid 140093926917888] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:14.755398 2021] [core:error] [pid 26:tid 140093847238400] [client 192.168.192.1:56338] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:14.759079 2021] [core:error] [pid 26:tid 140093838845696] [client 192.168.192.1:56334] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:14.763145 2021] [core:error] [pid 26:tid 140093830452992] [client 192.168.192.1:56340] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:14.767250 2021] [core:error] [pid 26:tid 140093796882176] [client 192.168.192.1:56348] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:14.771831 2021] [core:error] [pid 26:tid 140093813667584] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:14.933469 2021] [core:error] [pid 26:tid 140093805274880] [client 192.168.192.1:56340] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:14.934299 2021] [core:error] [pid 26:tid 140093310367488] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:14.940096 2021] [core:error] [pid 26:tid 140093301974784] [client 192.168.192.1:56338] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:14.940410 2021] [core:error] [pid 26:tid 140093822060288] [client 192.168.192.1:56334] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:20.370806 2021] [core:error] [pid 26:tid 140093260011264] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
